Ligand,Best_Run,Best_Affinity_kcal_mol,Mean_Affinity_kcal_mol,SD_Affinity,N_Success,Best_PDBQT
alllhrc,run_1,-9.288,-9.184,0.109,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/alllhrc/run_1/out.pdbqt
fclhlqlr,run_1,-9.27,-8.958,0.479,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/fclhlqlr/run_1/out.pdbqt
fllhttr,run_1,-9.597,-8.768,1.411,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/fllhttr/run_1/out.pdbqt
hlltlkkhv,run_1,-8.884,-8.690,0.196,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/hlltlkkhv/run_1/out.pdbqt
hlpllhrcc,run_2,-8.352,-8.283,0.071,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/hlpllhrcc/run_2/out.pdbqt
hvlllrqca,run_2,-8.251,-8.073,0.160,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/hvlllrqca/run_2/out.pdbqt
llhlpkrtt,run_3,-9.006,-8.886,0.161,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/llhlpkrtt/run_3/out.pdbqt
llhplrc,run_2,-8.908,-8.781,0.110,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/llhplrc/run_2/out.pdbqt
llhplrl,run_1,-8.942,-8.910,0.046,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/llhplrl/run_1/out.pdbqt
wllvhlkk,run_3,-8.941,-8.639,0.263,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/wllvhlkk/run_3/out.pdbqt
yhhllcrr,run_2,-9.028,-8.617,0.430,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/yhhllcrr/run_2/out.pdbqt
ylsllqr,run_3,-9.494,-9.437,0.085,3,/mnt/hpc/home/25menglei/25wenshaohua/rosetta/GROMACS-GUI/docking_out/job1/ylsllqr/run_3/out.pdbqt
