model_no,unified_name,activity,input_n,rows_gt_threshold,percent
1,ACE inhibitory,1._ACE_inhibitory_activity,11269961,1237451,10.98
2,DPP-IV inhibitory,2._DPPIV_inhibitory_activity,11269961,131426,1.17
3,Bitter,3._Bitter,11269961,1840368,16.33
4,Umami,4._Umami,11269961,3094287,27.46
5,Antimicrobial,5._Antimicrobial_activity,11269961,9882657,87.69
6,Antimalarial (alternative),6._Antimalarial_activity-alternative,11269961,703632,6.24
7,Antimalarial (main),6._Antimalarial_activity-main,11269961,1954667,17.34
8,Quorum sensing,7._Quorum_sensing_activity,11269961,4161825,36.93
9,Anticancer (main),8._ACP_Anticancer_activity-main,11269961,2404084,21.33
10,Anticancer (alternative),8._ACP_Anticancer_activity-alternative,11269961,1979643,17.57
11,Anti-MRSA,9._Anti-MRSA_strains_activity,11269961,769955,6.83
12,TTCA,10._TTCA,11269961,2618849,23.24
13,BBB (BBP),11._BBP_Blood-Brain_Barrier_Peptides,11269961,1095861,9.72
14,Anti-parasitic (APP),12._APP__Anti-parasitic,11269961,5517278,48.96
15,NeuroPred,13.NeuroPred,11269961,1690436,15.00
16,Antibacterial,14._antibacterial_AB,11269961,2658234,23.59
17,Antifungal,15._Antifungal_AF,11269961,3128057,27.76
18,Antiviral,16._AV_Antiviral,11269961,3362295,29.83
19,Toxicity,17._Toxicity_2021_Dataset,11269961,1725268,15.31
20,Antioxidant FRS,18._antioxidant_FRS,11269961,2643538,23.46
21,Allergenicity,19.allergenicity,11269961,1635019,14.51
22,Cell-penetrating peptide (CPP),20.CPP_cell_penerationg_peptide,11269961,1029770,9.14
