model_no,unified_name,activity,input_n,rows_gt_threshold,percent
1,ACE inhibitory,1._ACE_inhibitory_activity,11721988,1236442,10.55
2,DPP-IV inhibitory,2._DPPIV_inhibitory_activity,11721988,139056,1.19
3,Bitter,3._Bitter,11721988,1831185,15.62
4,Umami,4._Umami,11721988,3100811,26.45
5,Antimicrobial,5._Antimicrobial_activity,11721988,10302093,87.89
6,Antimalarial (alternative),6._Antimalarial_activity-alternative,11721988,695608,5.93
7,Antimalarial (main),6._Antimalarial_activity-main,11721988,2010724,17.15
8,Quorum sensing,7._Quorum_sensing_activity,11721988,4491507,38.32
9,Anticancer (main),8._ACP_Anticancer_activity-main,11721988,2357718,20.11
10,Anticancer (alternative),8._ACP_Anticancer_activity-alternative,11721988,2015652,17.20
11,Anti-MRSA,9._Anti-MRSA_strains_activity,11721988,843977,7.20
12,TTCA,10._TTCA,11721988,2666759,22.75
13,BBB (BBP),11._BBP_Blood-Brain_Barrier_Peptides,11721988,1125832,9.60
14,Anti-parasitic (APP),12._APP__Anti-parasitic,11721988,5462493,46.60
15,NeuroPred,13.NeuroPred,11721988,1714373,14.63
16,Antibacterial,14._antibacterial_AB,11721988,2597877,22.16
17,Antifungal,15._Antifungal_AF,11721988,2960118,25.25
18,Antiviral,16._AV_Antiviral,11721988,3275203,27.94
19,Toxicity,17._Toxicity_2021_Dataset,11721988,1714299,14.62
20,Antioxidant FRS,18._antioxidant_FRS,11721988,2521106,21.51
21,Allergenicity,19.allergenicity,11721988,1713798,14.62
22,Cell-penetrating peptide (CPP),20.CPP_cell_penerationg_peptide,11721988,925627,7.90
